Query de Busqueda;ID;Titulo del producto;Precio;Cantidad disponible;Condicion;Link al item;Estado;Garantia;Direccion vendedor
notebook apple;MLA1283559866;Apple Macbook Air (13 Pulgadas, 2020, Chip M1, 256 Gb De Ssd, 8 Gb De Ram) - Oro;349990;1;new;https://articulo.mercadolibre.com.ar/MLA-1283559866-apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-oro-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1147960896;Apple Macbook Air (13 Pulgadas, 2020, Chip M1, 256 Gb De Ssd, 8 Gb De Ram) - Gris Espacial;341121;1;new;https://articulo.mercadolibre.com.ar/MLA-1147960896-apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1186012094;Apple Macbook Air (13 Pulgadas, 2020, Chip M1, 256 Gb De Ssd, 8 Gb De Ram) - Plata;348628;1;new;https://articulo.mercadolibre.com.ar/MLA-1186012094-apple-macbook-air-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-plata-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1165513670;Macbook Air M2 2022 Space Gray 13.6 , Apple M2  8gb De Ram 256gb Ssd, Apple M2 8-core Gpu 2560x1664px Macos;465899;1;new;https://articulo.mercadolibre.com.ar/MLA-1165513670-macbook-air-m2-2022-space-gray-136-apple-m2-8gb-de-ram-256gb-ssd-apple-m2-8-core-gpu-2560x1664px-macos-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1130191603;Apple Macbook Air (13 Pulgadas, 2020, Chip M1, 512 Gb De Ssd, 8 Gb De Ram) - Plata;497999;1;new;https://articulo.mercadolibre.com.ar/MLA-1130191603-apple-macbook-air-13-pulgadas-2020-chip-m1-512-gb-de-ssd-8-gb-de-ram-plata-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1246897520;Macbook Air M2 2022 Starlight 13.6 , Apple M2  8gb De Ram 256gb Ssd, Apple M2 8-core Gpu 2560x1664px Macos;477000;1;new;https://articulo.mercadolibre.com.ar/MLA-1246897520-macbook-air-m2-2022-starlight-136-apple-m2-8gb-de-ram-256gb-ssd-apple-m2-8-core-gpu-2560x1664px-macos-_JM;active;Garantía de fábrica: 1 años;
notebook apple;MLA1134241787;Apple Macbook Pro (14 Pulgadas, Chip M1 Pro De Apple Con Cpu De 8 Núcleos,, 16 Gb Ram, 512 Gb Ssd) - Gris Espacial;832000;1;new;https://articulo.mercadolibre.com.ar/MLA-1134241787-apple-macbook-pro-14-pulgadas-chip-m1-pro-de-apple-con-cpu-de-8-nucleos-16-gb-ram-512-gb-ssd-gris-espacial-_JM;active;Garantía de fábrica: 1 años;
notebook apple;MLA1120254388;Apple Macbook Air (13 Pulgadas, 2020, Chip M1, 512 Gb De Ssd, 8 Gb De Ram) - Oro;503999.3;1;new;https://articulo.mercadolibre.com.ar/MLA-1120254388-apple-macbook-air-13-pulgadas-2020-chip-m1-512-gb-de-ssd-8-gb-de-ram-oro-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1186114365;Macbook Air M2 2022 Midnight 13.6 , Apple M2  8gb De Ram 256gb Ssd, Apple M2 8-core Gpu 2560x1664px Macos;464633;1;new;https://articulo.mercadolibre.com.ar/MLA-1186114365-macbook-air-m2-2022-midnight-136-apple-m2-8gb-de-ram-256gb-ssd-apple-m2-8-core-gpu-2560x1664px-macos-_JM;active;Garantía de fábrica: 6 meses;
notebook apple;MLA1119008638;Apple Macbook Pro (14 Pulgadas, Chip M1 Pro De Apple Con Cpu De 10 Núcleos,, 16 Gb Ram, 1 Tb Ssd) - Color Plata;1199999;1;new;https://articulo.mercadolibre.com.ar/MLA-1119008638-apple-macbook-pro-14-pulgadas-chip-m1-pro-de-apple-con-cpu-de-10-nucleos-16-gb-ram-1-tb-ssd-color-plata-_JM;active;Garantía del vendedor: 3 meses;
notebook apple;MLA1127671168;Apple Macbook Air (13 Pulgadas, 2020, Chip M1, 512 Gb De Ssd, 8 Gb De Ram) - Gris Espacial;722579;1;new;https://articulo.mercadolibre.com.ar/MLA-1127671168-apple-macbook-air-13-pulgadas-2020-chip-m1-512-gb-de-ssd-8-gb-de-ram-gris-espacial-_JM;active;;
notebook apple;MLA1103763945;Apple Macbook Pro (13 Pulgadas, 2020, Chip M1, 512 Gb De Ssd, 8 Gb De Ram) - Gris Espacial;498999.99;1;new;https://articulo.mercadolibre.com.ar/MLA-1103763945-apple-macbook-pro-13-pulgadas-2020-chip-m1-512-gb-de-ssd-8-gb-de-ram-gris-espacial-_JM;active;Garantía del vendedor: 6 meses;
notebook apple;MLA1309715778;Apple Macbook Pro (13 Pulgadas, 2020, Chip M1, 256 Gb De Ssd, 8 Gb De Ram) - Gris Espacial;482999;1;new;https://articulo.mercadolibre.com.ar/MLA-1309715778-apple-macbook-pro-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-gris-espacial-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1252047138;Apple Macbook Pro (16 Pulgadas, Chip M1 Pro De Apple Con Cpu De 10 Núcleos, Gpu De 16 Núcleos, 16 Gb Ram, 512 Gb Ssd) - Gris Espacial;1299927;1;new;https://articulo.mercadolibre.com.ar/MLA-1252047138-apple-macbook-pro-16-pulgadas-chip-m1-pro-de-apple-con-cpu-de-10-nucleos-gpu-de-16-nucleos-16-gb-ram-512-gb-ssd-gris-espacial-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1272808566;Macbook Air M2 2022 Silver 13.6 , Apple M2  8gb De Ram 256gb Ssd, Apple M2 8-core Gpu 2560x1664px Macos;599999;1;new;https://articulo.mercadolibre.com.ar/MLA-1272808566-macbook-air-m2-2022-silver-136-apple-m2-8gb-de-ram-256gb-ssd-apple-m2-8-core-gpu-2560x1664px-macos-_JM;active;Garantía de fábrica: 12 meses;
notebook apple;MLA1104043496;Apple Macbook Pro (13 Pulgadas, 2020, Chip M1, 256 Gb De Ssd, 8 Gb De Ram) - Plata;685599;1;new;https://articulo.mercadolibre.com.ar/MLA-1104043496-apple-macbook-pro-13-pulgadas-2020-chip-m1-256-gb-de-ssd-8-gb-de-ram-plata-_JM;active;Garantía de fábrica: 12 meses;
